DateYear;Semaine;ConfigStarted;ConfigCompleted;UniqueVisitor;UtileVisitor;Nombre_inscription;TTC_Gazole;Budget_displayBRAND;Budget_displayROI;PRESSE_InvestissementsEnEuros_QUOT_AUTO;PRESSE_InvestissementsEnEuros_NON_QUOT_AUTO;PRESSE_InvestissementsEnEuros_QUOT_NON_AUTO;PRESSE_InvestissementsEnEuros_NON_QUOT_NON_AUTO;Presse Totale Inv;Presse Totale quo Inv;Presse Totale nonquo Inv;RADIO_InvestissementsEnEuros;MOBILE_Volume_Achete;MOBILE_Net_Budget_LC;Investissement_Affichage;INTERNET_DISPLAY_InvestissementsEnEuros_BMW;PRESS INV BMW;RADIO_InvBMW;TV GRP BMW;TV INV BMW;Inv_aff_BMW;display_invMERCEDES;Press inv Mercedes;RADIO_InvMERCEDES;Investissement_Affichage_MERCEDES;TV INV MERCEDES;TV GRP MERCEDES;IsMondialAuto2014;IsOPO;IsPrimeAlaCasse;IsJourdelan;IsPentecôte;IsAsscention;IsPâcques;IsF?tedutravail;Is08Mais;Is14Juillet;Is15ao?t;IspremierNovembre;Is11Novembre;IsNoël
2014;12;22725;5510;28328;19335;68;1.3004;1776.5867269218;1056.88492686097;0;0;0;0;0;0;0;8890;0;0;126736;65866;258984;9087;0;0;180177;8661;160308;9087;107108;159096;926;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;12;22263;5124;28428;19273;56;1.3047;1742.42415969885;1036.56174093727;6 059;0;0;0;6 059;6059;0;7060;0;0;59027;65866;0;0;0;0;66209;8661;0;0;10889;152611;1132;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;13;18855;4299;26129;17380;71;1.3047;1552.17352062064;923.382333638751;187 000;0;0;0;187 000;187000;0;9060;0;0;59027;65866;8843;0;0;0;66209;8661;2353;0;10889;102084;616;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;13;17233;3988;24098;16049;62;1.3047;1612.69764367553;959.387912425794;12 736;0;0;0;12 736;12736;0;8320;0;0;59027;65866;71000;0;0;0;66209;8661;113;0;10889;119914;801;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;13;17415;3959;24217;16474;68;1.3047;1860.38252474813;1106.73473960295;43 357;0;0;0;43 357;43357;0;12200;0;0;59027;65866;221559;12803;0;0;66209;8661;75445;12803;10889;128406;1195;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;13;16381;3816;23768;16137;93;1.3047;1757.12257228615;1045.30577266784;0;14300;0;0;14 300;0;14300;2700;0;0;59027;65866;223883;13408;0;0;66209;8661;177233;13408;10889;135892;1013;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;13;16451;3772;22898;15524;65;1.3047;1985.87999941029;1181.39272692191;102 667;15120;0;0;117 787;102667;15120;3180;0;0;59027;65866;11155;12278;0;0;66209;8661;195538;12278;10889;84827;592;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;13;18286;4180;24771;16665;25;1.3047;2426.9282557918;1443.77071676291;15 024;0;0;0;15 024;15024;0;2000;0;0;59027;65866;2849;8448;0;0;66209;8661;107111;8448;10889;134066;800;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;13;18258;4224;25292;16767;34;1.3072;2263.4774323082;1346.53442145289;0;0;0;0;0;0;0;3570;0;0;8842;65866;0;0;0;0;2677;8661;151772;0;777;53312;276;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;14;16364;3725;23832;15975;101;1.3072;1202.75092638213;715.512114099736;16 505;0;0;0;16 505;16505;0;3410;0;0;8842;65866;32900;0;0;0;2677;8661;753861;0;777;115498;1572;0;0;0;0;0;0;0;0;0;0;0;0;0;0
